lot_id,original,story,base_mean,love_hint,source_url
21,"上上
十畝之間兮，
桑者閒閒兮。",,"以前家裡只有五畝田，種植桑麻，家庭也能三餐溫飽。如今已有十畝田可以種植桑麻，生活自然更加寬裕和穩定。然而，應該淡泊名利，生活才能快樂，否則會招致天譴。
簡單來說，就是提醒人們在生活變得寬裕和穩定後，不要過於追求名利，保持淡泊的心態，才能真正享受生活的樂趣。",,https://www.manekineko.com.tw/blog/yuelao21
22,"上上大吉
久旱逢甘雨，
他鄉遇故知，
洞房花燭夜，
金榜掛名時。",,"這句話的意思是：大吉大利的情景，平時所說的雙喜臨門已經很少見了，如今有四喜臨門，真是世間罕有的福氣。五福臨門，那更是無與倫比的好運。
這些象徵著在生活中接連遇到好事，幸福和福氣層層堆疊，給人帶來無盡的喜悅和滿足。真是值得慶賀的好運氣！",,https://www.manekineko.com.tw/blog/yuelao22
23,"中
只一點故情留，
直似春蠶到老，
尚把絲抽。",,"那個人對你示愛，而你為他的情感所迷惑，像春蠶一樣固執不變。然而，感情不必如此痴迷。凡事要遵守中庸之道，不必陷入死心塌地的境地，這點必須知道。要懂得自重。
總結來說，就是提醒我們在面對感情時，要保持理性，不要過於沉迷，要有自己的原則和尊重自己。",,https://www.manekineko.com.tw/blog/yuelao23
24,"中
他思已窮，
恨不窮，
是為嬌鸞鶵鳳失雌雄。",,這支籤描述了一段感情走到盡頭，無法挽回的情景。「他思已窮」意指對方的感情或心意已經冷卻，再無轉圜的餘地；「恨不窮」則是另一方仍心存執念，無法釋懷，愛恨糾纏，令人心痛。「嬌鸞鶵鳳失雌雄」象徵一對原本和諧的愛侶，因某些原因失去了彼此，最終分離。這籤暗示感情上可能出現無法彌補的裂痕，需審慎面對。,,https://www.manekineko.com.tw/blog/yuelao24
25,"上
可妻也。",,"這人是個好伴侶，可以娶嫁為妻。儘管目前還有一些小問題存在，但都是瑣碎的，不必擔心。事情一旦成了好事，將來一定會幸福美滿，白頭偕老。
總結來說，就是鼓勵人們不要因為一些小問題而擔心，因為真愛會戰勝一切，最終幸福美滿地一起走到白頭。",,https://www.manekineko.com.tw/blog/yuelao25
26,"上上
維熊維罷，
男子之祥。
維虺維蛇，
女子之祥。",,"男性夢中見到熊、羆等動物，這是吉祥的預兆，意味著將來會有飛黃騰達的日子。女性夢中見到虺蛇，也是祥兆，象徵著好運即將到來。這首詩告訴我們，生男孩會成為大英雄，生女孩會成為賢淑的女子。
這段話通過夢境預示了好運和成功，也給予了對未來的美好期許。",,https://www.manekineko.com.tw/blog/yuelao26
27,"上平
有宗室之美。",,"你應該知道，不能依仗自己是貴族出身。時代已經變遷，沒有高低貴賤之分，所有人都是平等的。人從出生就是平等的，沒有貴賤之分。因此，你在尋找伴侶時，應該從普通人中尋找。古人強調門當戶對，但如今的觀念已經不同，應該以愛心和緣分為重。
總結來說，就是提醒我們在尋找伴侶時，不要拘泥於出身和地位，而應該以愛心和緣分為基礎，尊重平等。",,https://www.manekineko.com.tw/blog/yuelao27
28,"上
夫婦也，昆弟也。",,"在婚姻或情感中，這首籤預示著雙方如同家人般的深厚關係，強調和睦、包容和彼此支持。夫妻之間應如兄弟姐妹般互相扶持，而兄弟姐妹之間也應該像夫妻一樣，互相理解與信任。
總結來說，這段話強調了夫妻之間應該互相尊重、支持，並且決心共同走過人生的風雨，這樣才能達到幸福美滿的境地。",,https://www.manekineko.com.tw/blog/yuelao28
29,"中平
有意栽花花不發，
無心插柳柳成蔭。",,努力種花卻不開花，而不經意插下的柳樹反而茂密成蔭。這個籤意在提醒你，愛情和人際關係有時候需要順其自然，過度的計畫與刻意的追求可能不會帶來預期的結果，反倒是無心插柳的時候，卻可能有意外的收穫。,,https://www.manekineko.com.tw/blog/yuelao29
30,"中
話別無長夜，相思又此春。
瑤姬不可見，巫峽更何人。
運石疑填海，乘槎欲問津。",,"彼此道別後，漫漫長夜中相思不斷，期盼來年春天再見。但這份愛似乎遙不可及，對方如仙子般遠在天邊無法相見，即使心中渴望找到相會的機會，卻如同填海的艱難，令人倍感無助。
這首籤詩描繪了離別、思念與求而不得的情感。詩句中「話別無長夜，相思又此春」表達了離別之後的孤寂與對愛人的深切思念，而「瑤姬不可見，巫峽更何人」則暗示了心中所愛的遙遠難求，彷彿愛情無法輕易獲得。「運石疑填海」與「乘槎欲問津」表達了渴望突破困境的努力，卻感到希望渺茫。整體來看，此籤預示著情感上的波折與求而不得的失落，提醒人們在感情中要調整心態，不要因短暫的阻礙而心生灰意。",,https://www.manekineko.com.tw/blog/yuelao30
31,"中吉
設虛，夜靜水寒，魚不餌。
笑滿船空載明月。",,這首籤詩表達了一種理想與現實落差的意境。詩句中的「設虛」指的是設置魚餌等待魚上鉤，然而夜深水寒，魚卻不願上鉤，讓人徒勞而返。雖然滿船空無一物，卻載滿了明月的清光。這段籤詩寓意著努力未必有即時的回報，追求的結果可能不盡如人意，但內心的收穫與欣賞過程中的美好依然存在。籤詩提醒人們在追求愛情或事業時，不要執著於短期的成果，學會欣賞沿途的風景與過程中的美好。,,https://www.manekineko.com.tw/blog/yuelao31
32,"上
因荷而得藕，有杏不須梅。",,此籤詩的意思是，因為有荷花才能得到蓮藕，有了杏子就不需要再尋求梅子了。籤詩傳遞了一種知足常樂的智慧，暗示著你已經擁有了所需要的，不必再追求其他的選擇。它提醒人們要珍惜眼前已有的緣分和美好，不必為了追求更多或不同的目標而忽略了當下。,,https://www.manekineko.com.tw/blog/yuelao32
33,"上上
可以托六尺之孤，可以寄百里之命。",,此籤詩表達了一種穩固且值得信賴的緣分。「可以托六尺之孤」意指對方有足夠的責任心和可靠性，可以託付孩子，「可以寄百里之命」則象徵對方有能力保護和扶持你的人生。這首籤詩代表了真摯且深厚的感情基礎，強調信任和承諾，無論是愛情、友情還是家庭關係，都是可以長久依靠的。,,https://www.manekineko.com.tw/blog/yuelao33
34,"中平
仍舊貫，如之何？
何必改作？",,"這句籤詩是在告訴你目前的情況其實很穩定，不需要特意去改變，維持當下的狀態反而更適合。即便遇到小問題也無需慌亂，因為目前的關係或狀況是有其內在價值的。籤詩鼓勵你珍惜眼前的一切，不要急於求新，保持現狀可能是更好的選擇，
此籤的核心在於「因循舊法」與「改變現狀」之間的矛盾，認為當前的情況可能並無大礙。籤詩表達出一種保守的觀點，若貿然改變，可能帶來不必要的麻煩或風險。",,https://www.manekineko.com.tw/blog/yuelao34
35,"下
遇人之不淑矣。",,此籤意指感情路上可能會遇到品行不端或不適合的對象，甚至可能因為對方的缺陷或不良行為而受到傷害。「不淑」暗指對方的品性、行為或對待感情的態度不佳，並非良配。籤文提醒，當對方不符合期望或有不良表現時，應理智處理，避免因感情迷失方向。,,https://www.manekineko.com.tw/blog/yuelao35
36,"上
投我以木桃，報之以瓊瑤。",,這句籤詩表示對方對你付出真誠，而你也應該以相同或更深的感情回報，雙方互相支持，關係自然會更加穩定長久。這段關係不僅僅是單方面的付出，而是互相的愛與關懷，形成良好的循環，為彼此帶來幸福。,,https://www.manekineko.com.tw/blog/yuelao36
37,"中
求則得之，舍則失之。",,籤詩鼓勵你積極追求想要的東西，若願意努力，機會和成就便會隨之而來；若心生退意而選擇放手，則可能會與成果失之交臂。感情和生活中的美好往往需要主動去爭取，過度的退縮只會讓機會流失。,,https://www.manekineko.com.tw/blog/yuelao37
38,"上吉
妻焉者，親之主也。",,籤詩指出配偶在感情生活中具關鍵角色，兩人彼此的信任與扶持是幸福的基礎。無論是否已婚，此籤都是鼓勵對方珍惜眼前的緣分。它也暗示對象是心靈契合之人，兩人攜手共度未來，感情會更加深厚。,,https://www.manekineko.com.tw/blog/yuelao38
39,"上
不得乎親，
不可以為人。
不順乎親，
不可以為子。",,"：
籤詩強調了親情在生活中的重要性，表示若與親人不和諧，就難以成為一個完整、幸福的人。籤詩提醒在人生或感情的發展中，應首先重視與家人、長輩的關係，並獲得他們的支持，因為這些祝福將成為你幸福的基石。對於姻緣，籤詩暗示若希望感情順利，則需要獲得家庭的支持，家人的祝福將讓這段關係更加穩定長久。",,https://www.manekineko.com.tw/blog/yuelao39
40,"中
踏破鐵鞋無覓處，得來全不費功夫。",,這句籤詩描述了一種在尋找某事時，經歷了長時間的努力與困難，卻未能成功，然而當不再刻意追求時，結果反而輕鬆得來的情況。這暗示著在人生或感情的道路上，當一切都看似困難重重時，不妨放鬆心態，反而可能會不經意間收穫驚喜。姻緣方面，此籤暗示愛情會在你最意想不到的時候來臨，不必過於強求或著急。,,https://www.manekineko.com.tw/blog/yuelao40
41,"上平
良人者，
所仰望而終身也，
今若此。",,籤詩表達的是對理想伴侶的期盼和憧憬，強調「良人」是一個可以相伴終身的人，也是命中注定的良緣。籤詩的意思是，你一直所期待的那個人終於出現了，這是一段可以讓你滿足一生的感情。無論是正在尋找愛情的人，還是已經有對象的人，這籤詩都是一個好兆頭，暗示著你即將遇到或已經擁有理想的伴侶，這段關係將帶來長久的幸福。,,https://www.manekineko.com.tw/blog/yuelao41
42,"中
重重迭迭上瑤台，
幾度呼童掃不開，
剛被太陽收拾去，
卻教明月送將來。",,這首籤詩描述了反覆的波折和不斷變化的情勢。瑤台象徵高處或美好的境地，但到達這樣的境界卻困難重重，試圖清除障礙（呼童掃不開）也未能成功。然而，當事情看似有所好轉（太陽收拾去），另一波挑戰卻隨著明月再次到來。這暗示在人生或感情上，可能會經歷反覆的波折，事情時而有望解決，時而又有新問題出現。籤詩提醒需要保持耐心和韌性，最終問題仍然有機會在適當的時機化解。,,https://www.manekineko.com.tw/blog/yuelao42
43,"上吉
君子有援勤之桃，淑女無投梭之拒。",,"這首籤詩描繪了一段充滿真誠與回應的感情。第一句「君子有援勤之桃」指出在感情中，君子（男性）表現出不懈的努力和真誠的追求，正如桃樹結出碩果，象徵男性在感情中的付出是誠懇且持續的。第二句「淑女無投梭之拒」則指的是淑女（女性）並不會拒絕這份情感，而是願意接受這份愛，與之共鳴。投梭的典故源於織布時的動作，象徵著女性願意投入與回應這段感情，這預示著雙方心意相通，情感發展順遂。籤詩的吉祥預兆強調了彼此之間的吸引力和默契，是一段相互理解、相互扶持的關係。
籤詩的意涵直白卻充滿深情，描述了感情中的良好互動。男性的一片赤誠終將打動女性，雙方都會以真誠的心來回應彼此，並不會遭遇冷淡或拒絕。這是一個「天時地利人和」的預兆，表示彼此之間的緣分已然成熟，關係將能自然、順利地推進。感情中的障礙不多，只要雙方保持真心，這段關係就有穩定長久的基礎。",,https://www.manekineko.com.tw/blog/yuelao43
44,"上
遐邇一體，率賓舊王。",,"這首籤詩表達的是「遐邇一體」的思想，意思是無論距離多遠，彼此心靈相通，沒有任何阻隔。「率賓舊王」則象徵著誠心誠意地迎接一位值得尊敬的人，或是一段值得珍惜的關係。這籤詩預示著感情或關係上的和諧與融合，無論是時間、空間或其他阻隔，雙方最終都會回到一起，達成心靈的共鳴與理解。
籤詩中的「遐邇」不僅指空間上的距離，也可以象徵心理或感情上的差異或隔閡，而「一體」則代表最終能達成和解或共識。因此，這首籤詩暗示著即使兩人之間存在距離或誤會，只要雙方真誠相待，便能克服困難，重新走到一起。",,https://www.manekineko.com.tw/blog/yuelao44
45,"上
後生可畏，
焉知來者之不如今也。",,此籤詩意在強調「未來可期」，提醒人們不要輕視年輕一代，因為未來的成就未可限量。對於感情而言，這籤詩鼓勵人們抱持信心和耐心，無論目前情況如何，未來皆有希望和提升的空間。這段姻緣可能會在時間的推移中更加美好或穩定，並且可能遇到更適合的人或情感機會，帶來新的發展和突破。,,https://www.manekineko.com.tw/blog/yuelao45
46,"中上
不愧於天，
不怍於人。",,此籤詩強調「問心無愧，無愧於天」的道理，表達了正直和真誠的重要性。在感情方面，籤詩提醒無論在追求戀愛、維持感情或面對分歧時，都應該憑良心行事，保持坦誠與正直。無愧於心的感情才能長久，無論結果如何，內心不會因遺憾而悔恨。,,https://www.manekineko.com.tw/blog/yuelao46
47,"中
害女紅者也。",,此籤詩中的「害女紅」意指對女性的心境或情緒造成不利影響。這籤暗示當前的感情狀態可能因某些外部因素或內心的煩惱而變得困難或不穩定，容易帶來煩惱或內心的掙扎。它提醒求籤人要注意身邊可能的干擾或不良影響，避免因為一時的情緒或壓力而做出後悔的決定。在感情中保持冷靜和清晰的判斷尤為重要，以免受到負面情緒影響，破壞感情的發展。,,https://www.manekineko.com.tw/blog/yuelao47
48,"上吉
五百英雄都在此，
不知誰是狀元郎？",,此籤意指優秀之人眾多，但最為出色、值得託付終身的那一位尚未明朗。這暗示在感情路上，可能遇到不少合適的對象或機會，但真正適合的伴侶需要用心辨別和耐心等待。此籤傳達出「眾中求一」的寓意，提醒求籤人不要因選擇多而心生迷茫，而是要專注於真心相對的人，以智慧挑選出那位值得自己託付終生的對象。,,https://www.manekineko.com.tw/blog/yuelao48
49,"上平
故好而知其惡，
惡而知其美者。",,籤詩意指愛情中既要看到對方的優點，也要包容其缺點。無論多麼合適的伴侶，都有優缺點並存的部分，能夠欣賞對方的美好並接納彼此的不足，才是長久之道。這籤語提醒求籤人在感情上要擁有全面的視角，不要只被表面優點吸引或因一點瑕疵而急於否定，唯有平衡地看待彼此，才能達成穩固的關係。,,https://www.manekineko.com.tw/blog/yuelao49
50,"中
兩世一身，
形單影支。",,此籤描繪了一種孤寂的情感狀態，似乎暗示求籤人可能正經歷孤單的情感旅程。詩意中的「兩世一身」象徵著過去的緣分依舊牽繫著現在的情感，卻未能擺脫孤單。而「形單影支」則強調了單身獨處的處境，彷彿沒有合適的伴侶在身邊。籤詩提醒你應學會放下過去的牽掛或孤寂，以便迎接新的情感機遇。,,https://www.manekineko.com.tw/blog/yuelao50
51,"上
雖有善者，
亦無如之何矣。",,籤詩傳達一種無奈感，暗示即使身邊有善意之人幫助，現狀卻難以因外力得到顯著改變。無論是朋友的支持，還是伴侶的陪伴，最終可能仍無法解決根本問題。籤詩提醒求籤者需要依靠自己，擁抱現實，尋找內在力量，面對並適應不可改變的情況，這樣才能在情感或生活困境中走出一條路。,,https://www.manekineko.com.tw/blog/yuelao51
52,"上上大吉
雲從龍，
風從虎，
聖人作而萬，
君萬事皆可成也！",,此籤顯示出一種勢不可擋、萬事順遂的吉兆。「雲從龍，風從虎」喻指天地萬物各自找到契合的伴侶、相互呼應，產生強大的力量，象徵著良好的天時地利人和，使得事情得以順利發展。「聖人作而萬」代表有高尚品德或智慧的人推動，讓一切得以順利進行，表示你擁有了極佳的時機與條件，任何心願皆能順遂達成，是個非常吉利的籤詩。,,https://www.manekineko.com.tw/blog/yuelao52
53,"上上
其所厚者薄，
而其所薄者厚。",,"籤詩揭示了人生中事物的反轉和出乎意料的變化。「其所厚者薄」指的是原本被重視、珍惜的事物或人，可能逐漸失去原有的重要性或地位；而「其所薄者厚」則意味著原本不被看重的事物，反而會變得更加重要，甚至在未來扮演舉足輕重的角色。這是一個強調變遷和意外反轉的籤詩，暗示著感情或生活中可能會出現意想不到的轉機，最終帶來全新的格局。
籤詩的精髓在於提醒人們在面對感情或人生的變化時，要保持開放的心態，不要過於執著於當下的得失或判斷。事情往往不會照著既定的方向發展，過程中可能會出現翻轉的情況，但這些變化未必是壞事，反而有可能是通向更好結果的契機。",,https://www.manekineko.com.tw/blog/yuelao53
54,"中
成也蕭何，
敗也蕭何。",,這句籤詩源自漢朝開國功臣蕭何的故事，蕭何是劉邦的謀士，既助其成功，又因其策略導致某些局勢動盪。此籤暗示，人生中的成敗得失可能都與同一個人或事件息息相關；有時賴以成功的因素，也會因時空改變而成為阻礙。此籤提醒求籤人要小心處理身邊的重要關係或事情，警惕過度依賴同一個人或某個關鍵因素，避免因對方的改變而陷入困境。,,https://www.manekineko.com.tw/blog/yuelao54
55,"上
不思舊姻，
求爾新君。",,不要再沉迷於過去的情感中，而應該著眼於新的感情對象。籤詩引導你向前看，對新的人生伴侶保持希望與期待。這支籤象徵著新生與改變，提醒你有能力迎接新的情緣，放下執念便能邁向新的幸福。,,https://www.manekineko.com.tw/blog/yuelao55
56,"上上
永老無離別，
萬古當團聚。
願天下有情人，
都成眷屬。",,這首籤詩祝福所有相愛的人，能夠永遠在一起、沒有分離，並且長久幸福。它寓意著愛情的圓滿和美好的未來。無論是正在追求幸福的路上，或已經擁有美滿感情的人，此籤都象徵著和諧、長久、充滿愛與希望的未來。,,https://www.manekineko.com.tw/blog/yuelao56
57,"上上
是謂鳳凰于飛，
和鳴鏘鏘。",,這首籤詩以鳳凰比翼雙飛、相互和鳴作為比喻，象徵著愛情中的伴侶心心相印、相互扶持，並且能夠攜手共創幸福的人生。這是愛情美滿、和諧幸福的象徵。無論你處於何種情感階段，此籤詩都帶來深厚的祝福與吉兆，表達出愛情的成功與圓滿。,,https://www.manekineko.com.tw/blog/yuelao57
58,"中
帷舊婚媾，
其能降以相從乎？",,這支籤詩談及舊有的婚姻或感情糾葛，並提出了質疑，是否真的能夠心平氣和地重新走到一起。籤詩隱含著一種對於舊愛重聚或過去的關係重修的疑問和困難，象徵著回首過去可能並非容易之事。此籤暗示著情感上的復合可能會面臨挑戰，甚至需要彼此都放下驕傲與執念，但即便如此，也未必能真正回到曾經的狀態。是一支帶有謹慎與思考意味的籤詩，提醒人們對待過去的情感需要理智與深思熟慮。,,https://www.manekineko.com.tw/blog/yuelao58
59,"中
膾炙，
所同也，
羊棗，
所獨也。",,"這支籤詩以「膾炙」與「羊棗」作為比喻，強調人們在喜好和選擇上的差異。膾炙意指美味佳餚，為人所共同欣賞和喜愛；而羊棗則是一種較為特殊、不是每個人都接受的滋味，象徵著個別的選擇和獨特的喜好。
強調人們在感情上有時會追求共同理想的關係，但也可能尋求特別、不同於他人的情感需求，暗示愛情和感情需要考慮到共同價值觀與個人特質，才能真正和諧共處。
此籤指出人們對感情的期望和需求可能各異，有些感情可能符合大眾的期待，大家都認同，但也有些愛情可能是特殊的、獨一無二的。籤詩提醒在感情中，要了解自己真正的需求，並清楚自己是否尋求一段「眾人所共」或「獨具一格」的感情，進而選擇適合的情緣。",,https://www.manekineko.com.tw/blog/yuelao59
60,"中
心茍不愆，何惜於人言。",,這支籤詩強調的是心正行直，無懼外人的評價。只要內心無愧，即使周遭有所批評或異議，也無須過於在意。籤詩提醒我們要堅守自己的信念和價值觀，尤其是在面對感情上的選擇或困境時，要以坦誠和自信的態度處之。這支籤詩顯示出在人際和感情中，外在的流言蜚語或他人的看法，不能動搖內心的堅定意志。,,https://www.manekineko.com.tw/blog/yuelao60
61,"上
不知其人，視其友。",,這支籤詩以「不知其人，視其友」來揭示如何了解他人的方式。詩意指若要了解某個人，透過觀察他交往的朋友和伴侶的品性，就能大致推測出他的為人。籤詩強調人際關係和交往圈的重要性，因為一個人與什麼樣的人為伍，往往反映出其性格、價值觀與生活態度。此籤對感情中的選擇尤其具有指引作用，建議你從對方的朋友圈與交往態度中進一步洞察對方的真正面貌，慎重做出感情抉擇。,,https://www.manekineko.com.tw/blog/yuelao61
